OrgNr,name,industry_name,company_size_category,profitability_category,growth_category
5560806688,Amerikanska Teleprodukter Aktiebolag,,Micro,Good Profitability,Low Growth
5568979602,Amet & Partners AB,,Micro,Good Profitability,Declining
5591237630,Amfimarin AB,,Micro,Good Profitability,High Growth
5569084832,AmiTec Automation & Industriteknik AB,,Micro,Good Profitability,Low Growth
5565088324,Amiga AB,,Small,Low Profitability,Rapid Decline
5562166636,Ammega Sweden AB,,Small,Low Profitability,Medium Growth
5565985271,Amtico International AB,,Micro,Low Profitability,Rapid Decline
5563992378,Amundsgård Aktiebolag,,Micro,Low Profitability,Medium Growth
5568030745,Anchor Lås Aktiebolag,,Micro,Good Profitability,Rapid Decline
5567599815,Anders & Gunilla Bennarsten Service AB,,Micro,High Profitability,Declining
5562123926,Anders Anderssons Maskin Aktiebolag,,Micro,Low Profitability,Low Growth
5563424422,Andershornstein AB,,Micro,Good Profitability,Declining
5562668623,Andersson & Hjalmarsson Försäljnings Aktiebolag,,Micro,Good Profitability,Low Growth
5565003190,Anderssons Städ & Fönsterputs Aktiebolag,,Micro,Low Profitability,Medium Growth
5567965214,Andreas Uppgård AB,,Micro,Low Profitability,Medium Growth
5561167551,Andreasson Musik & Data Aktiebolag,,Micro,Low Profitability,Declining
5562062587,Animek System Aktiebolag,,Micro,Good Profitability,High Growth
5592356645,Ankarsrum Electric Motors AB,,Micro,Low Profitability,Rapid Decline
5568533292,Anna-Karin Karlsson Exclusive AB,,Micro,Good Profitability,High Growth
5560852922,Annell Ljus och Form Aktiebolag,,Micro,Low Profitability,Low Growth
5566280169,AnnelövsGrisen Aktiebolag,,Micro,Good Profitability,Low Growth
5566197660,Annsam AB,,Micro,Low Profitability,Rapid Decline
5567002786,Antikcompaniet i Enköping AB,,Micro,Good Profitability,High Growth
5591083935,Anton Johansson Maskin AB,,Micro,Good Profitability,High Growth
5567176945,Anundsjö Byggnads AB,,Micro,Low Profitability,Low Growth
5567162259,Apirosport Sweden AB,,Micro,Low Profitability,Medium Growth
5591320030,Apopharmacy AB,,Micro,Low Profitability,High Growth
5568501901,Apotek Visborg AB,,Micro,Low Profitability,Low Growth
5591672422,Apotekerna LEM AB,,Micro,Low Profitability,Low Growth
5568502453,Apoteket Gode Herden AB,,Micro,Low Profitability,Medium Growth
5568028855,Apoteksgruppen i Borrby Nr 1 AB,,Micro,Good Profitability,Medium Growth
5569578155,Apoteksgruppen i Bromma Nr 2 AB,,Micro,Low Profitability,Low Growth
5590935879,Apoteksgruppen i Eskilstuna Nr 1 AB,,Micro,Low Profitability,Medium Growth
5568294507,Apoteksgruppen i Gällivare Nr 1 AB,,Micro,Low Profitability,Medium Growth
5591184998,Apoteksgruppen i Karlshamn Nr 1 AB,,Micro,Low Profitability,High Growth
5568019078,Apoteksgruppen i Nacka Nr 1 AB,,Micro,Low Profitability,Medium Growth
5568020548,Apoteksgruppen i Sköndal Nr 1 AB,,Micro,Low Profitability,Declining
5568026214,Apoteksgruppen i Solna Nr 1 AB,,Micro,Low Profitability,Low Growth
5568802234,Apoteksgruppen i Stenungsund Nr 1 AB,,Micro,Low Profitability,Low Growth
5590845284,Apoteksgruppen i Stockholm Nr 8 AB,,Micro,Low Profitability,Low Growth
5567733430,Apoteksgruppen i Stockholm och Märsta Nr 1 AB,,Micro,Low Profitability,Medium Growth
5568018989,Apoteksgruppen i Västra Frölunda Nr 1 AB,,Micro,Good Profitability,Declining
5568748908,Apoteksgruppen i Ytterby Nr 1 AB,,Micro,Low Profitability,Low Growth
5567733117,Apoteksgruppen i Årsta Nr 1 AB,,Micro,Low Profitability,Declining
5591908685,Apoteksgruppen i Örebro Nr 4 AB,,Micro,Low Profitability,High Growth
5565117453,Appelberg Publishing Group AB,,Micro,Low Profitability,Declining
5566977707,Apptronic Automation AB,,Micro,Low Profitability,Low Growth
5563146173,Aquajet Systems Aktiebolag,,Small,Good Profitability,Low Growth
5567787881,Arasta AB,,Micro,Low Profitability,Low Growth
5569873226,Arbetsbil Stockholm AB,,Micro,Good Profitability,Rapid Decline
5562549906,Arcona Yachts AB,,Micro,Good Profitability,Declining
5568080740,Arctic Cave Entreprenad AB,,Micro,Low Profitability,Declining
5568805369,Arctic Vulk & Montage AB,,Micro,Good Profitability,Low Growth
5567459168,ArcticSource1 AB,,Micro,Low Profitability,High Growth
5567239461,Arena Service Mitt AB,,Micro,Good Profitability,Low Growth
5565861225,Argoflex AB,,Micro,High Profitability,High Growth
5561597963,Arho AB,,Micro,Good Profitability,Medium Growth
5565351052,Arilds Vingård AB,,Micro,Good Profitability,Low Growth
5567653521,Arkadens läkarmottagning i Märsta AB,,Micro,Low Profitability,High Growth
5563108942,Arkeologikonsult Sverige AB,,Micro,Good Profitability,Rapid Decline
5566887633,Arkiv Digital AD AB,,Micro,High Profitability,Low Growth
5561931543,Arkivservice Svenskt Arkiv Aktiebolag,,Micro,High Profitability,Low Growth
5593762445,Arlinga AB,,Micro,Low Profitability,Rapid Decline
5566698758,Arno Förvaltning Aktiebolag,,Micro,High Profitability,Rapid Decline
5567757884,Arno-Remmen Aktiebolag,,Micro,High Profitability,Low Growth
5567837892,Aronsson & Monsén Svets AB,,Micro,Good Profitability,Declining
5569309825,Aros Skolor AB,,Micro,Low Profitability,Rapid Decline
5569329831,Arrak Outdoor i Uddevalla AB,,Micro,Good Profitability,Declining
5564461837,Arronet Teknik Aktiebolag,,Small,Good Profitability,Low Growth
5561146407,Arthur Berglunds Glas Larm Aktiebolag,,Micro,Good Profitability,Declining
5566911524,Artipelag AB,,Micro,Good Profitability,High Growth
5563726768,Arva Trading Aktiebolag,,Small,Good Profitability,High Growth
5563569390,Arvidsjaur Flygplats Aktiebolag,,Micro,Low Profitability,Low Growth
5565617064,Arvidssons Snickeri Mjöbäck AB,,Micro,Good Profitability,Low Growth
5564057163,Asfaltläggarna M & A Aktiebolag,,Micro,Good Profitability,Medium Growth
5590040092,Asfaltslandslaget AB,,Micro,Good Profitability,High Growth
5565200754,Askersundstandläkarna AB,,Micro,Good Profitability,Medium Growth
5564182086,Askims Trädgårdsanläggningar Aktiebolag,,Micro,Low Profitability,High Growth
5564128329,Askliden Aktiebolag,,Micro,Good Profitability,Rapid Decline
5563116523,Aspa Växtodling Aktiebolag,,Micro,Good Profitability,Declining
5592293731,Assargården Lantbruk AB,,Micro,Good Profitability,Low Growth
5561721399,Asso Produkter Aktiebolag,,Micro,Low Profitability,High Growth
5568611429,Asta & Malva trading AB,,Micro,Low Profitability,Declining
5569629891,Aston Harald Composite AB,,Micro,Low Profitability,Rapid Decline
5567330211,Aswo-Sverige AB,,Small,Good Profitability,Medium Growth
5591813828,At Event Sweden AB,,Micro,Good Profitability,High Growth
5563571115,Atek Avvattningsteknik Aktiebolag,,Micro,Good Profitability,Rapid Decline
5566952924,Atran Velo AB,,Micro,Good Profitability,Rapid Decline
5562811157,Audema Revision AB,,Micro,Low Profitability,Medium Growth
5562151588,AudicomPendax AB,,Micro,Low Profitability,Declining
5562444983,Audiovision Björn Persson Aktiebolag,,Micro,Low Profitability,Declining
5564698198,Augur Stockholm AB,,Micro,Good Profitability,Rapid Decline
5564147485,August Larsson Charkuteri AB,,Small,Good Profitability,Declining
5593077893,AuraDent AB,,Micro,Good Profitability,High Growth
5565873147,Aurevia AB,,Micro,Good Profitability,Medium Growth
5593318339,Aurora kultur och kongress AB,,Micro,Low Profitability,High Growth
